timestamp_utc,epoch_s,humidity_percent,temperature_c
2026-04-02T09:25:51.287359+00:00,1775121951.287,53,20.6
2026-04-02T09:25:52.291490+00:00,1775121952.292,53,20.6
2026-04-02T09:25:53.546990+00:00,1775121953.547,53,20.6
2026-04-02T09:25:54.551439+00:00,1775121954.551,53,20.6
2026-04-02T09:25:55.806947+00:00,1775121955.807,53,20.6
2026-04-02T09:25:56.811738+00:00,1775121956.812,53,20.6
2026-04-02T09:25:58.067390+00:00,1775121958.067,53,20.6
2026-04-02T09:25:59.071906+00:00,1775121959.072,53,20.6
2026-04-02T09:26:00.327465+00:00,1775121960.327,53,20.6
2026-04-02T09:26:01.333850+00:00,1775121961.334,53,20.6
2026-04-02T09:26:02.589779+00:00,1775121962.590,53,20.6
2026-04-02T09:26:03.595940+00:00,1775121963.596,53,20.6
2026-04-02T09:26:04.852631+00:00,1775121964.853,53,20.6
2026-04-02T09:26:05.858210+00:00,1775121965.858,53,20.6
2026-04-02T09:26:07.113665+00:00,1775121967.114,53,20.6
2026-04-02T09:26:08.119081+00:00,1775121968.119,53,20.6
2026-04-02T09:26:09.375006+00:00,1775121969.375,53,20.6
2026-04-02T09:26:10.379034+00:00,1775121970.379,53,20.6
2026-04-02T09:26:11.634733+00:00,1775121971.635,53,20.6
2026-04-02T09:26:12.638702+00:00,1775121972.639,53,20.6
2026-04-02T09:26:13.894635+00:00,1775121973.895,53,20.6
2026-04-02T09:26:14.898815+00:00,1775121974.899,53,20.6
2026-04-02T09:26:16.154938+00:00,1775121976.155,53,20.6
2026-04-02T09:26:17.158818+00:00,1775121977.159,53,20.6
2026-04-02T09:26:18.414741+00:00,1775121978.415,53,20.6
2026-04-02T09:26:19.420764+00:00,1775121979.421,53,20.6
2026-04-02T09:26:20.677444+00:00,1775121980.677,53,20.6
2026-04-02T09:26:21.683000+00:00,1775121981.683,53,20.6
2026-04-02T09:26:22.938458+00:00,1775121982.938,53,20.6
2026-04-02T09:26:23.944548+00:00,1775121983.945,53,20.6
2026-04-02T09:26:25.200380+00:00,1775121985.200,53,20.6
2026-04-02T09:26:26.204492+00:00,1775121986.205,53,20.6
2026-04-02T09:26:27.459894+00:00,1775121987.460,53,20.6
2026-04-02T09:26:28.464312+00:00,1775121988.464,53,20.6
2026-04-02T09:26:29.719789+00:00,1775121989.720,53,20.6
2026-04-02T09:26:30.724439+00:00,1775121990.724,53,20.6
2026-04-02T09:26:31.980063+00:00,1775121991.980,53,20.6
2026-04-02T09:26:32.984461+00:00,1775121992.984,53,20.6
2026-04-02T09:26:34.239803+00:00,1775121994.240,53,20.6
2026-04-02T09:26:35.244102+00:00,1775121995.244,53,20.6
2026-04-02T09:26:36.499940+00:00,1775121996.500,53,20.6
2026-04-02T09:26:37.505999+00:00,1775121997.506,53,20.6
2026-04-02T09:26:38.762614+00:00,1775121998.763,53,20.6
2026-04-02T09:26:39.768147+00:00,1775121999.768,53,20.6
2026-04-02T09:26:41.022868+00:00,1775122001.023,53,20.6
2026-04-02T09:26:42.026099+00:00,1775122002.026,53,20.6
2026-04-02T09:26:43.282996+00:00,1775122003.283,53,20.6
2026-04-02T09:26:44.287466+00:00,1775122004.287,53,20.6
2026-04-02T09:26:45.543592+00:00,1775122005.544,53,20.6
2026-04-02T09:26:46.547931+00:00,1775122006.548,53,20.6
2026-04-02T09:26:47.803420+00:00,1775122007.803,53,20.6
2026-04-02T09:26:48.808087+00:00,1775122008.808,53,20.6
2026-04-02T09:26:50.063556+00:00,1775122010.064,53,20.6
2026-04-02T09:26:51.067874+00:00,1775122011.068,53,20.6
2026-04-02T09:26:52.323878+00:00,1775122012.324,53,20.6
2026-04-02T09:26:53.328154+00:00,1775122013.328,53,20.6
2026-04-02T09:26:54.585374+00:00,1775122014.585,53,20.6
2026-04-02T09:26:55.589441+00:00,1775122015.589,53,20.6
2026-04-02T09:26:56.846775+00:00,1775122016.847,53,20.6
2026-04-02T09:26:57.849843+00:00,1775122017.850,53,20.6
2026-04-02T09:26:59.104959+00:00,1775122019.105,53,20.6
2026-04-02T09:27:00.110734+00:00,1775122020.111,53,20.6
2026-04-02T09:27:01.367638+00:00,1775122021.368,53,20.6
2026-04-02T09:27:02.371890+00:00,1775122022.372,53,20.6
2026-04-02T09:27:03.627470+00:00,1775122023.627,53,20.6
2026-04-02T09:27:04.631949+00:00,1775122024.632,53,20.6
2026-04-02T09:27:05.887175+00:00,1775122025.887,53,20.6
2026-04-02T09:27:06.891091+00:00,1775122026.891,53,20.6
2026-04-02T09:27:08.147215+00:00,1775122028.147,53,20.6
2026-04-02T09:27:09.151285+00:00,1775122029.151,53,20.6
2026-04-02T09:27:10.407228+00:00,1775122030.407,53,20.6
2026-04-02T09:27:11.411099+00:00,1775122031.411,53,20.6
2026-04-02T09:27:12.667017+00:00,1775122032.667,53,20.6
2026-04-02T09:27:13.671289+00:00,1775122033.671,53,20.6
2026-04-02T09:27:14.928876+00:00,1775122034.929,53,20.6
2026-04-02T09:27:15.933975+00:00,1775122035.934,53,20.6
2026-04-02T09:27:17.191160+00:00,1775122037.191,53,20.6
2026-04-02T09:27:18.195121+00:00,1775122038.195,53,20.6
2026-04-02T09:27:19.452770+00:00,1775122039.453,53,20.6
2026-04-02T09:27:20.456638+00:00,1775122040.457,53,20.6
2026-04-02T09:27:21.712096+00:00,1775122041.712,53,20.6
